epoch,batch,train_loss,train_accuracy
0,0,0.6786266,0.625
1,1,1.3707347,0.4375
1,2,1.1734226,0.53125
1,3,2.2324479,0.40625
1,4,0.86143434,0.5625
1,5,0.9827348,0.53125
1,6,0.6945698,0.5
1,7,0.61365175,0.5
1,8,0.603988,0.75
1,9,0.7363282,0.375
1,10,0.87817013,0.3125
1,11,0.68692595,0.40625
1,12,0.7335752,0.53125
1,13,0.68185365,0.59375
1,14,0.68893456,0.53125
1,15,0.7066823,0.46875
1,16,0.70916057,0.375
1,17,0.7251068,0.46875
1,18,0.6738949,0.625
1,19,0.77305156,0.4375
1,20,0.78826714,0.46875
1,21,0.6754373,0.4375
1,22,0.6172957,0.59375
1,23,0.6790749,0.5
1,24,0.7371222,0.5625
1,25,0.6893538,0.5625
1,26,0.6545912,0.625
1,27,0.67917293,0.46875
1,28,0.654377,0.5
1,29,0.65324676,0.6875
1,30,0.64843214,0.59375
1,31,0.7097689,0.40625
1,32,0.6610209,0.625
1,33,0.7287222,0.4375
1,34,0.7849847,0.53125
1,35,0.74454623,0.5
1,36,0.6910018,0.5
1,37,0.6977472,0.59375
1,38,0.6689564,0.625
1,39,0.7108618,0.5
1,40,0.6753081,0.59375
1,41,0.70382905,0.53125
1,42,0.6655021,0.75
1,43,0.72254395,0.46875
1,44,0.67794466,0.53125
1,45,0.72411424,0.53125
1,46,0.65310055,0.625
1,47,0.5893782,0.71875
1,48,0.63831407,0.53125
1,49,0.6390605,0.625
1,50,0.6247084,0.71875
1,51,0.65216786,0.625
1,52,0.8486581,0.625
1,53,0.58976364,0.75
1,54,0.63072604,0.59375
1,55,0.5966503,0.75
1,56,0.6809533,0.625
1,57,0.63291794,0.53125
1,58,0.5942875,0.71875
1,59,0.64372486,0.71875
1,60,0.6238208,0.5625
1,61,0.67351085,0.5
1,62,0.7171057,0.46875
1,63,0.6978921,0.53125
1,64,0.65814227,0.5217391304347826
2,65,0.5827593,0.6875
2,66,0.62437624,0.75
2,67,0.55054545,0.65625
2,68,0.5929492,0.5625
2,69,0.5068957,0.71875
2,70,0.70965874,0.625
2,71,0.6806231,0.53125
2,72,0.79976076,0.46875
2,73,0.72661865,0.5625
2,74,0.57530415,0.71875
2,75,0.5484224,0.78125
2,76,0.72509634,0.46875
2,77,0.72219497,0.625
2,78,0.70229226,0.59375
2,79,0.76078784,0.625
2,80,0.6325715,0.5625
2,81,0.5903727,0.625
2,82,0.6094931,0.59375
2,83,0.5926833,0.65625
2,84,0.71498436,0.46875
2,85,0.58164805,0.65625
2,86,0.66577685,0.5
2,87,0.56578773,0.71875
2,88,0.65662664,0.53125
2,89,0.5926977,0.59375
2,90,0.73208565,0.5625
2,91,0.7846154,0.5625
2,92,0.65823126,0.5625
2,93,0.6506487,0.625
2,94,0.87370366,0.46875
2,95,0.6384072,0.59375
2,96,0.6886999,0.40625
2,97,0.68091315,0.53125
2,98,0.6999434,0.5
2,99,0.7044326,0.5625
2,100,0.6488655,0.5625
2,101,0.69639826,0.53125
2,102,0.6232131,0.625
2,103,0.7089767,0.5625
2,104,0.61742485,0.59375
2,105,0.59160626,0.625
2,106,0.64079916,0.625
2,107,0.74087125,0.46875
2,108,0.69604665,0.59375
2,109,0.573319,0.65625
2,110,0.65075016,0.625
2,111,0.64805746,0.5625
2,112,0.74453163,0.5625
2,113,0.6629779,0.625
2,114,0.6693269,0.59375
2,115,0.72577906,0.625
2,116,0.68767846,0.6875
2,117,0.6567249,0.59375
2,118,0.7734052,0.4375
2,119,0.5996776,0.59375
2,120,0.55578107,0.65625
2,121,0.87415695,0.5625
2,122,0.49483243,0.75
2,123,0.77735156,0.5625
2,124,0.6535822,0.5625
2,125,0.6918108,0.625
2,126,0.71942824,0.5625
2,127,0.7026267,0.5625
2,128,0.5640047,0.7391304347826086
3,129,0.6967783,0.53125
3,130,0.61015856,0.78125
3,131,0.6308843,0.6875
3,132,0.80255044,0.6875
3,133,0.5962349,0.65625
3,134,0.6702154,0.65625
3,135,0.6223857,0.71875
3,136,0.63056123,0.6875
3,137,0.5478377,0.71875
3,138,0.7678032,0.5
3,139,0.6425511,0.625
3,140,0.656296,0.5625
3,141,0.7646558,0.5625
3,142,0.69345963,0.625
3,143,0.6537507,0.53125
3,144,0.60043263,0.65625
3,145,0.74313915,0.5625
3,146,0.59411657,0.65625
3,147,0.65262353,0.5625
3,148,0.6195322,0.65625
3,149,0.56275773,0.6875
3,150,0.67949337,0.625
3,151,0.571317,0.71875
3,152,0.464133,0.8125
3,153,0.6647277,0.65625
